region,gini_2009,gini_2012,gini_2015,gini_2018,gini_2021,gini_2023
Philippines,0.4641,0.4605,0.4438,0.4267,0.4063,0.3909
NCR,0.4081,0.4028,0.3908,0.352,0.3349,0.343
CAR,0.4658,0.4675,0.4209,0.4437,0.4166,0.3531
I-Ilocos Region,0.417,0.4265,0.3977,0.3893,0.4023,0.3689
II-Cagayan Valley,0.456,0.4096,0.4063,0.4278,0.4229,0.3569
III-Central Luzon,0.3821,0.4084,0.3969,0.3717,0.3507,0.307
IV-A-CALABARZON,0.4203,0.4186,0.4011,0.3952,0.371,0.3736
MIMAROPA Region,0.4116,0.4476,0.4564,0.423,0.4178,0.4049
V-Bicol Region,0.4268,0.4233,0.396,0.3967,0.4111,0.3959
VI-Western Visayas,0.4309,0.4754,0.4361,0.4241,0.4435,0.3972
NIR - Negros Island Region,,,,,0.4114,0.4031
VII-Central Visayas,0.4711,0.4712,0.4645,0.4425,0.4333,0.3647
VIII-Eastern Visayas,0.5008,0.4834,0.4647,0.4457,0.4448,0.3986
IX-Zamboanga Peninsula,0.4915,0.4592,0.4359,0.4231,0.4128,0.3904
X-Northern Mindanao,0.486,0.4844,0.4633,0.4059,0.4134,0.3903
XI-Davao Region,0.4339,0.433,0.4294,0.4108,0.4132,0.4077
XII-SOCCSKSARGEN,0.4462,0.457,0.4624,0.4303,0.4241,0.4338
XIII-Caraga,0.4732,0.4397,0.4336,0.4383,0.4481,0.3994
BARMM,0.2991,0.2882,0.28,0.2819,0.2778,0.2538
