;Hele befolkningen;;;;Hele befolkningen eksklusive personer i studenthusholdninger;;;
;Ginikoeffisient;Standardavvik Ginikoeffisient;P90/P102;S80/S203;Ginikoeffisient;Standardavvik Ginikoeffisient;P90/P102;S80/S203
2001;0,229;0,002;2,6;3,2;0,223;0,002;2,5;3,1
2002;0,264;0,004;2,7;3,8;0,258;0,004;2,6;3,6
2003;0,274;0,003;2,8;3,9;0,267;0,003;2,7;3,7
2004;0,283;..;2,7;4,1;0,276;..;2,6;3,8
2005;0,327;..;2,8;4,8;0,319;..;2,7;4,5
2006;0,243;..;2,8;3,5;0,235;..;2,6;3,3
2007;0,252;..;2,8;3,7;0,244;..;2,7;3,5
2008;0,248;..;2,8;3,6;0,240;..;2,7;3,4
2009;0,241;..;2,8;3,5;0,231;..;2,6;3,3
2010;0,245;..;2,8;3,6;0,236;..;2,6;3,3
2011;0,247;..;2,8;3,6;0,237;..;2,7;3,4
2012;0,249;..;2,9;3,7;0,239;..;2,7;3,4
2013;0,250;..;2,9;3,7;0,241;..;2,7;3,4
2014;0,256;..;2,9;3,8;0,247;..;2,8;3,5
2015;0,271;..;3,0;4,0;0,263;..;2,8;3,8
2016;0,261;..;3,0;3,9;0,252;..;2,8;3,6
2017;0,261;..;3,0;3,9;0,252;..;2,8;3,6
2018;0,260;..;3,0;3,9;0,251;..;2,8;3,6
2019;0,259;..;3,0;3,9;0,250;..;2,8;3,6
2020;0,262;..;3,0;3,9;0,252;..;2,8;3,6
2021;0,289;..;3,0;4,3;0,279;..;2,8;4,0
2022;0,261;..;2,9;3,9;0,253;..;2,8;3,6
2023;0,256;..;2,9;3,8;0,248;..;2,8;3,6
2024;0,256;..;2,9;3,9;0,248;..;2,8;3,6
1Negative beløp er satt lik 0.;;;;;;;;
2Forholdstallet mellom inntekten til den personen som befinner seg mellom desil 9 og desil 10 (P90) og inntekten til den personen som befinner seg mellom desil 1 og desil 2 (P10).;;;;;;;;
3Forholdet mellom gjennomsnittsinntektene til høyeste og laveste 20 prosent i befolkningen.;;;;;;;;
