Dekomponering av Gini-koeffisienten i ulikhetsandel, inntektsandel og konsentrasjons-koeffisient for tre inntektskomponenter (bruttoinntekt, skatt og offentlige tjenester) i 24 europeiske land, 2012;;;;;;;;;
Land;Ulikhetsandel;;;Inntektsandel;;;Konsentrasjonskoeffisient;;
;Brutto-inntekt;Skatt;Offentlige tjenester;Brutto-inntekt;Skatt;Offentlige tjenester;Brutto-inntekt;Skatt;Offentlige tjenester
Belgia;1,542;-0,514;-0,027;1,055;-0,254;0,199;0,314;0,435;-0,030
Danmark;1,640;-0,639;-0,002;1,134;-0,368;0,233;0,293;0,352;-0,002
Estland;1,290;-0,289;-0,001;1,003;-0,164;0,161;0,369;0,506;-0,001
Finland;1,530;-0,530;-0,001;1,053;-0,254;0,201;0,301;0,432;-0,001
Frankrike;1,344;-0,334;-0,011;1,002;-0,195;0,193;0,333;0,425;-0,014
Hellas;1,512;-0,499;-0,013;1,119;-0,309;0,189;0,383;0,458;-0,019
Irland;1,502;-0,496;-0,006;0,978;-0,198;0,220;0,379;0,618;-0,007
Island;1,634;-0,617;-0,016;1,096;-0,314;0,219;0,285;0,376;-0,014
Italia;1,515;-0,498;-0,017;1,115;-0,289;0,175;0,378;0,479;-0,027
Luxembourg;1,439;-0,419;-0,020;1,011;-0,230;0,219;0,339;0,435;-0,022
Nederland;1,743;-0,764;0,021;1,187;-0,421;0,234;0,290;0,359;0,018
Norge;1,493;-0,544;0,051;1,036;-0,274;0,239;0,253;0,349;0,038
Polen;1,345;-0,338;-0,006;1,073;-0,241;0,167;0,331;0,371;-0,010
Portugal;1,445;-0,427;-0,018;1,025;-0,207;0,182;0,401;0,588;-0,028
Slovakia;1,183;-0,127;-0,056;0,882;-0,083;0,201;0,272;0,310;-0,056
Slovenia;1,551;-0,566;0,016;1,062;-0,247;0,185;0,308;0,483;0,018
Spania;1,326;-0,311;-0,015;0,992;-0,158;0,166;0,383;0,564;-0,026
Storbritannia;1,569;-0,541;-0,029;1,039;-0,235;0,196;0,371;0,566;-0,036
Sveits;1,456;-0,412;-0,044;1,158;-0,327;0,168;0,307;0,308;-0,064
Sverige;1,474;-0,502;0,028;1,014;-0,265;0,251;0,274;0,358;0,021
Tsjekkia;1,361;-0,328;-0,033;0,929;-0,131;0,202;0,297;0,508;-0,033
Tyskland;1,519;-0,514;-0,005;1,097;-0,300;0,203;0,340;0,420;-0,007
Ungarn;1,332;-0,321;-0,011;1,010;-0,196;0,187;0,313;0,388;-0,014
Østerrike;1,595;-0,565;-0,030;1,082;-0,280;0,198;0,331;0,453;-0,034
Kilde: Eurostat/OECD.;;;;;;;;;
